country,"2018","2019","2020","2021"
United States,"82318.00","83987.00","65235.00","70419.00"
Japan,"30268.00","31814.00","24646.00","28123.00"
China,"25114.00","29411.00","38055.00","58082.00"
France,"22252.00","22578.00","17615.00","20483.00"
Italy,"18543.00","18930.00","14620.00","16243.00"
United Kingdom,"17546.00","18446.00","14509.00","19090.00"
Hong Kong,"14136.00","11683.00","6768.00","8276.00"
Germany,"13466.00","13896.00","10487.00","13175.00"
Korea,"11961.00","12517.00","12504.00","14166.00"
Taiwan,"6703.00","7173.00","7556.00","8545.00"