week,Hermes,Channel,RouisVuitton,Dior,Celine,Average
2018-01-01,16.86035,40.55053,30.42114,11.09636,16.73052,23.13178
2018-02-01,17.0332,37.41984,30.78744,11.30329,13.98314,22.105382
2018-03-01,28.87566,41.28166,34.91207,9.98886,18.54788,26.721226
2018-04-01,19.17044,41.45744,31.77162,9.83481,15.71395,23.589652
2018-05-01,17.97509,39.01776,33.89104,9.7354,14.0939,22.942638
2018-06-01,16.90647,33.44115,32.1635,8.46699,12.72729,20.74108
2018-07-01,15.94687,33.09942,32.21238,9.16899,15.38596,21.162724
2018-08-01,17.74598,37.53757,34.83504,10.96576,17.09759,23.636388
2018-09-01,19.54657,39.77261,35.22659,12.08736,24.4193,26.210486
2018-10-01,20.75797,43.10281,37.63561,12.41242,23.0745,27.396662
2018-11-01,19.26378,44.00349,35.83684,12.07252,17.31624,25.698574
2018-12-01,21.05847,46.37277,38.35906,14.27817,17.69842,27.553378
2019-01-01,21.80557,53.796,44.04842,18.3275,22.69832,32.135162
2019-02-01,22.7755,66.35681,44.88697,22.2062,22.23032,35.69116
2019-03-01,28.22246,61.51188,47.51554,23.32256,23.01336,36.71716
2019-04-01,25.10865,59.27072,48.14206,20.2994,18.76294,34.316754
2019-05-01,26.18981,57.17835,45.87472,20.65626,14.9719,32.974208
2019-06-01,28.40324,52.67165,44.1901,18.47494,14.68682,31.68535
2019-07-01,31.4132,52.28466,48.17757,20.50434,16.73291,33.822536
2019-08-01,28.36432,60.46384,54.68146,27.00143,20.30866,38.163942
2019-09-01,30.82309,65.32593,64.89937,29.62282,25.96454,43.32715
2019-10-01,39.3147,69.50849,69.85647,28.74407,30.10491,47.505728
2019-11-01,34.04002,67.74528,69.01915,28.84124,31.04668,46.138474
2019-12-01,36.32171,75.58546,76.32809,34.15324,34.58718,51.395136
2020-01-01,39.1199,86.0646,85.40536,42.49775,43.82048,59.381618
2020-02-01,42.14056,76.87379,80.49234,40.6038,43.9653,56.815158
2020-03-01,42.21693,82.02415,82.85321,43.84536,48.55234,59.898398
2020-04-01,43.09168,73.73632,74.03873,39.93923,44.12905,54.987002
2020-05-01,44.44917,100,80.33065,45.38045,43.01658,62.63537
2020-06-01,95.90776,69.76397,76.82787,73.5505,42.58381,71.726782
2020-07-01,85.44604,77.98983,78.3999,59.47976,64.51947,73.167
2020-08-01,70.87437,81.7174,89.95141,53.81464,51.96505,69.664574
2020-09-01,70.17007,78.26356,92.96912,57.38312,53.1437,70.385914
2020-10-01,79.41911,81.8112,89.99945,57.4037,58.0652,73.339732
2020-11-01,70.50009,82.78972,86.46869,58.06953,54.63523,70.492652
2020-12-01,85.3717,88.64247,85.80593,71.0178,53.50213,76.868006
2021-01-01,91.26231,86.1385,94.89541,80.83092,64.11716,83.44886
2021-02-01,84.32042,86.84974,90.03089,80.8631,66.93143,81.799116
2021-03-01,93.456,93.51352,98.84654,83.77623,79.72586,89.86363
2021-04-01,95.30142,96.97851,94.09744,80.32525,78.21371,88.983266
2021-05-01,94.8004,82.97556,91.24504,80.74971,73.83837,84.721816
2021-06-01,91.26784,75.92074,82.75244,75.98492,68.37094,78.859376
2021-07-01,86.79505,78.2874,86.36747,80.62922,64.54273,79.324374
2021-08-01,100,68.17611,91.52149,86.01157,70.83924,83.309682
2021-09-01,90.57277,73.26537,93.8254,85.23598,85.64139,85.708182
2021-10-01,91.19073,73.27696,100,88.34358,93.79387,89.321028
2021-11-01,79.5676,68.99841,86.86001,82.52292,89.46241,81.48227
2021-12-01,94.68031,74.1701,93.33603,100,100,92.437288